video,p_base,p_e18
base-props__51be5b142d9021a3c446702d354fabdf42630fa9__汉堡菇__v304__scooter__97551c71__c0.mp4,0.093924,0.153884
exact-r1__a94f2d44020fa35457be6626fc3248c0fb05adda__吐司菇__v1048__crown__8c48cfa2__c0.mp4,0.255493,0.285643
exact-r2__c1c8f50e04d9360f9734313b06780f6e0609fa1f__爆炸菇（爆炸前）__v1207__coffee__58598a42__c0.mp4,0.219079,0.268766
exact-r1__6e9d7ffcb3adf3ebcb80c8b5da0520ff83d8b419__汉堡菇__v702__coffee__d2e63cfc__c0.mp4,0.183554,0.202831
exact-r2__c58718035188222cb4ab5a2959917a6fbd3f600b__汉堡菇__v1231__glasses__fe3a03d2__c0.mp4,0.316544,0.264785
base-noprop__479cfaa7ed9751d704a007cccb8dbebcb4fc8765__粽子菇__v0__19c8cd35__c0.mp4,0.041702,0.160157
base-props__938e01d47782dafc5547713c187bfbca30a0ae08__爆炸菇（爆炸后）__v589__coffee__38b5420d__c0.mp4,0.043287,0.077117
base-noprop__2276ebe5ea41733077c3d5d88d4cdb9e6f3ef7ef__炸虾菇__v0__8065a18a__c0.mp4,0.032187,0.121477
base-noprop__9ff16bd9837162a31625505a37953b6d7b6f8bcd__炸虾菇__v0__7e850bd2__c0.mp4,0.182083,0.167212
exact-r1__b64e927b147755fae3afe21af5cf55d4d3d529a1__毒蘑菇__v1133__crown__25f11caf__c0.mp4,0.09696,0.193394
exact-r1__f0f77d545e150bcc231192eafd1e15432b3925f3__毒蘑菇__v1516__glasses__e077c6f2__c0.mp4,0.403554,0.446915
base-noprop__28b20a51fc5023872d19e739ff97172cffc064d5__毒蘑菇__v0__cf7134e7__c0.mp4,0.096984,0.160099
base-noprop__c82f72947167e88ffd436a39531a14abf6dee6cf__炸虾菇__v0__9394005f__c0.mp4,0.051462,0.132925
exact-r2__b5f3ed9751741b54d2b7860eb77b985aaee98b64__粽子菇__v1128__bubble__6e70acea__c0.mp4,0.109109,0.245471
generic__d424d1f21129cb4f5e1724780bc7368fa90c14e9__炸虾菇__v813__scooter__d1ace2f7__c0.mp4,0.149614,0.134498
exact-r1__15e6b3460ae8a842ce658edab362da80dbccd4dd__爆炸菇（爆炸后）__v139__crown__e9064bc2__c0.mp4,0.292172,0.292541
exact-r1__d1758c15bc02c270105a3d17b4eb3accdc5cee71__蘑菇力__v1300__bubble__af98eeec__c0.mp4,0.114563,0.173092
exact-r1__01a6567f10a570751973e6ec60ed6bde441ec10f__爆炸菇（爆炸后）__v14__eyemask__90e390c5__c0.mp4,0.60442,0.554387
base-noprop__2a80b5bbf9bfc43cc9607c64804c1876ee75a6f2__毒蘑菇__v0__890c7aff__c0.mp4,0.11766,0.118984
exact-r1__b5f3ed9751741b54d2b7860eb77b985aaee98b64__炸虾菇__v1128__bubble__06bbf296__c0.mp4,0.187612,0.217431
base-noprop__fa699bfb0ad829980890a6fa14ad0c0db8626180__炸虾菇__v0__496ebfd6__c0.mp4,0.364937,0.276384
exact-r2__6e00099ba07748932bf2cc8af1fceef62e8038f4__汉堡菇__v700__coffee__771ca631__c0.mp4,0.291414,0.308302
exact-r1__753c5537a0badf41766fc2e264e9432a3b9c71fb__爆炸菇（爆炸前）__v735__eyemask__cf61d26d__c0.mp4,0.166077,0.279116
exact-r2__10c0ac04aeb5d2daab305c2cf0c7c468606b21ab__蘑菇力__v100__coffee__edadca69__c0.mp4,0.144408,0.25766
base-noprop__f64e1c17ba334819ca417f708e64e97d2aba7b05__粽子菇__v0__e05364c5__c0.mp4,0.268127,0.303678
generic__929b88500dd26c68400cb2ef5015e7db4f37d194__汉堡菇__v586__coffee__880a1ceb__c0.mp4,0.128962,0.270942
exact-r1__f142944f6415cf4e140989e4620f7f0f23645f52__毒蘑菇__v1518__glasses__b904a7f8__c0.mp4,0.111303,0.141165
exact-r1__f5ba1ce13b37950d02d7e32e049506ff144abc71__蘑菇力__v1549__eyemask__52d2a75b__c0.mp4,0.109621,0.174692
base-props__e6a6c1053d5efe2e36d668270cf9f895b650e2a1__炸虾菇__v898__glasses__1df276f6__c0.mp4,0.284469,0.325386
exact-r1__1669dffeba5d47e88d54192d09226ea6f70233e4__爆炸菇（爆炸前）__v145__glasses__ce84e222__c0.mp4,0.32697,0.370769
exact-r1__b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072__毒蘑菇__v1148__crown__0de8e285__c0.mp4,0.216582,0.247666
generic__e6a6c1053d5efe2e36d668270cf9f895b650e2a1__炸虾菇__v898__glasses__1df276f6__c0.mp4,0.276271,0.264974
exact-r1__28b269cb428b398ae0c461d34d9e6daeeb15dd1c__蘑菇力__v265__flag__6d808d89__c0.mp4,0.240932,0.222125
base-props__edb1f0c36ee48806d99094bace7f3423c10bdc39__毒蘑菇__v925__eyemask__b5908fb5__c0.mp4,0.117051,0.147507
base-noprop__90d2739dfb7858927d0f47919eb4bdb9a91380c7__汉堡菇__v0__4d85415b__c0.mp4,0.100323,0.167068
exact-r1__48edbebb09f4066019f3a893bd82184d9bdce8fd__爆炸菇（爆炸后）__v465__glasses__5508a275__c0.mp4,0.42193,0.423976
exact-r1__ee8ee8f76cc09b62de2c6369c4fbcd0529c0add0__汉堡菇__v1498__bubble__80085a36__c0.mp4,0.378449,0.363717
exact-r1__a6a9bd897b2a6026ea017159b23d6fe4508c6aef__吐司菇__v1030__crown__5bf3e723__c0.mp4,0.031642,0.126649
exact-r1__5e7b79559f6cc44daddac102e8d214b2aa09cd33__炸虾菇__v591__coffee__6014f87c__c0.mp4,0.104136,0.159504
base-noprop__24dc1f3ba782c8b6cd325590627ea2ed97b93833__蘑菇力__v0__e1721d9a__c0.mp4,0.057946,0.18443
exact-r1__db2ea9a59f8d9bd142cf6ccf99304afecb1195d6__汉堡菇__v1371__flag__8c1c5bef__c0.mp4,0.240165,0.291693
generic__edcc9cb357e76382c3dd66231b56a5f4c6ef4e4b__毒蘑菇__v926__eyemask__c1ae514b__c0.mp4,0.166912,0.285964
exact-r2__3373ae9e4de4dce88d5624681a41f79ac07484f3__蘑菇力__v342__scooter__c3ace3d5__c0.mp4,0.078242,0.124971
generic__c52c60db374d20e0b184bfe3476d54058ae4bf84__炸虾菇__v773__eyemask__4650b901__c0.mp4,0.052426,0.130519
exact-r2__986d912c264847e31c8f18a969d28d6c5bfafc3a__毒蘑菇__v943__bubble__ecab9665__c0.mp4,0.070428,0.143866
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__汉堡菇__v0__73001002__c0.mp4,0.106728,0.140222
exact-r1__0482215a70d10901557fd35bdf33f91d111c8bcb__粽子菇__v30__coffee__d4ee31e5__c0.mp4,0.051448,0.135377
exact-r1__c222c0506a97b7a9e8e24f8b8a715d3bd0ecbd85__爆炸菇（爆炸前）__v1213__coffee__f5015232__c0.mp4,0.44643,0.501245
exact-r2__91c39501adafbba839f83b6334e1af2e954a86dc__爆炸菇（爆炸前）__v905__flag__04bc6241__c0.mp4,0.451289,0.385859
exact-r1__5f7637850af2f16c03eff8c6fe0c95f65698bcd6__吐司菇__v596__scooter__5cdcac5c__c0.mp4,0.08411,0.162763
exact-r1__15f75abcba4174a7e03174d2ba8fa27b95e7f5ff__蘑菇力__v140__glasses__5c91f6c0__c0.mp4,0.086406,0.193525
generic__56bc114155a57e47100a6759d7b78d0befdb0a1f__蘑菇力__v330__eyemask__3f293437__c0.mp4,0.176945,0.231622
base-noprop__76415b1f87ca2c2e1e9c5810464d613f3664583d__炸虾菇__v0__cb4effac__c0.mp4,0.252046,0.283528
base-noprop__069c5cf6bb44592f056bdb81b4696b1569957312__蘑菇力__v0__043ce7ea__c0.mp4,0.02596,0.142289
exact-r2__655591f8a2e3f43e7dd87e08844065a68a1b8e56__爆炸菇（爆炸后）__v642__flag__3196f35d__c0.mp4,0.169268,0.209604
exact-r1__350cfd2dd11a55bba310df263eb011f378987693__爆炸菇（爆炸后）__v352__coffee__114e6de4__c0.mp4,0.182964,0.264882
exact-r1__45f95e4ccfc9b15e50ac6f5d00e336f2b5909182__吐司菇__v441__bubble__e2d9b949__c0.mp4,0.146495,0.207022
exact-r1__f9d1eed7993e0d88c26d3e6c260e0c2c09acd66b__爆炸菇（爆炸前）__v1571__bubble__655e7834__c0.mp4,0.207644,0.301939
exact-r2__2827cec8374948e9be93fdc1bcf8e9a4b6e4d53c__蘑菇力__v261__flag__2b162223__c0.mp4,0.058427,0.093783
exact-r1__a8b82dd68a55ba601c87031486af04c63ac9aca8__吐司菇__v1044__crown__e4c8e642__c0.mp4,0.160825,0.220699
exact-r1__c303d68368ab9ff7234ad0a2eedb6c8a148c23e3__爆炸菇（爆炸前）__v1219__coffee__4431c54f__c0.mp4,0.389053,0.392281
base-noprop__44edcc4beb7d88d66db3fdea1b606a12e64017fd__毒蘑菇__v0__10f0910b__c0.mp4,0.33772,0.300075
exact-r1__4691ed1843f8b20fbb9d94d74fa655f6e6d960bb__爆炸菇（爆炸后）__v447__glasses__95e1fb58__c0.mp4,0.346274,0.339368
base-props__546296f7917ec182336f629d3d0c02436cb741ca__汉堡菇__v315__scooter__5d2f2681__c0.mp4,0.05913,0.143131
exact-r1__38893d9278824c10a21ee9ebcd4e3948322f309c__粽子菇__v369__flag__c8bd46c7__c0.mp4,0.158968,0.231905
exact-r1__49e4303b44fcc27a48dcbb9fedc8fd22431b34ff__粽子菇__v472__glasses__e8cc5d52__c0.mp4,0.515027,0.532279
exact-r1__32dd046cc33c87913a63ceb3d332e99d5929fcfb__蘑菇力__v338__scooter__0fb48165__c0.mp4,0.440406,0.443551
exact-r1__64b07342bed2a0f5328e22964e543dfbed747f94__爆炸菇（爆炸后）__v632__scooter__0df343bf__c0.mp4,0.157557,0.197969
exact-r2__fbc6cc3e6f358627d84bb3511700ab79cfb3a214__爆炸菇（爆炸前）__v1587__bubble__942f9369__c0.mp4,0.085186,0.157271
exact-r1__f209495c1245dd50d55278984d059d319d10dcab__毒蘑菇__v1522__glasses__b71ee6e0__c0.mp4,0.332971,0.339737
generic__aeecb7505b781f5cf42bce5705d3f3bc18c53b56__毒蘑菇__v701__bubble__42af22f1__c0.mp4,0.067431,0.128289
exact-r1__336d65b0699f567902b54ca9b3d4fd081d7a57d0__吐司菇__v341__glasses__4e1a2319__c0.mp4,0.167268,0.215378
exact-r1__c345c8555877102cc1df8b6cecd5496eba097b0f__爆炸菇（爆炸前）__v1221__coffee__acd00226__c0.mp4,0.214541,0.282709
exact-r1__ef42d53ed8b791605eae85aa1492240bd9a4a695__汉堡菇__v1502__bubble__5afa3d17__c0.mp4,0.187203,0.195329
exact-r1__ed2aed62a6cc33d8917e875c075f9a9da2079de2__汉堡菇__v1487__bubble__d6169561__c0.mp4,0.070061,0.123668
exact-r1__5f7fb1ceb4b48f45e4f8bd8b3b86312976e2872e__吐司菇__v598__scooter__b4fb54ed__c0.mp4,0.553067,0.589744
base-props__b2678863871b99530ba9e74fef126b3d90508f99__爆炸菇（爆炸后）__v712__eyemask__532028ec__c0.mp4,0.05413,0.145104
base-noprop__36cc3b78b61d9039d9d44b967df0005c6e6e6895__炸虾菇__v0__2eb742cc__c0.mp4,0.158492,0.185205
generic__a5e37a90d98a5994377758364c1e4676cdd9da9a__粽子菇__v673__glasses__0a0c5f9d__c0.mp4,0.104213,0.165797
base-noprop__3b9d1b6c16258908a61bcc8b642c745d0033992e__蘑菇力__v0__7bc8a00e__c0.mp4,0.197775,0.273141
base-noprop__50ee01d3a21af2295c697ffe0dcc9d0e2bd3a001__吐司菇__v0__d0dff578__c0.mp4,0.466864,0.405666
exact-r1__913093deac6198ad65ba3e8925974f83e021d41b__粽子菇__v902__crown__b103009f__c0.mp4,0.18965,0.266375
base-noprop__3eb6d97760f838a366c3ddc9c5fe31024af3ddd6__炸虾菇__v0__b205438f__c0.mp4,0.042922,0.121827
exact-r2__18ee7b33c99e2e14a3e82fadee1bea64ceed5ede__蘑菇力__v156__glasses__69bca2c2__c0.mp4,0.273598,0.302082
exact-r1__db11bfdaff5a33e9c9c53b4ad74b99097274fdf5__炸虾菇__v1370__flag__7aabbc36__c0.mp4,0.118382,0.214355
exact-r2__b5d14e764b870261aa66c7becd1030cb7dd3aff1__炸虾菇__v1127__bubble__35558177__c0.mp4,0.053509,0.143174
exact-r1__044176e563bd0ca37fa16a6ebe34899138633a40__粽子菇__v28__coffee__6edeef2d__c0.mp4,0.313844,0.361195
base-noprop__182f83da0bcf36703e4fd5d1e28bc4008296ecaa__爆炸菇（爆炸后）__v0__95b8842a__c0.mp4,0.191956,0.163789
exact-r2__c2e9ae96e46e8d80f334d387a13cdcd4b79f15cd__爆炸菇（爆炸前）__v1218__coffee__09c07fe3__c0.mp4,0.539945,0.516483
base-noprop__cf4cabe622b3f02cfc5256b5fcd31ea8829ff9ce__爆炸菇（爆炸前）__v0__f0af4e74__c0.mp4,0.144045,0.190344
exact-r1__327185ae5318bfb2ef8e016f01872c878d2c1fa3__爆炸菇（爆炸后）__v334__coffee__7dec34e4__c0.mp4,0.124865,0.180875
base-props__dad4cc0c224921ba2b3e9a82d69f6789dfd1c559__汉堡菇__v847__bubble__069a15c5__c0.mp4,0.173314,0.298263
base-props__c02ecf1932815596cda24fe2696288e3a709c5c2__粽子菇__v757__bubble__942bb2b6__c0.mp4,0.048442,0.141582
base-props__56bc114155a57e47100a6759d7b78d0befdb0a1f__蘑菇力__v330__eyemask__3f293437__c0.mp4,0.197944,0.252832
exact-r1__14befe3436b0276fac0d9e75b9e101c8a7c7b858__爆炸菇（爆炸后）__v127__crown__9788bf56__c0.mp4,0.530469,0.513054
base-props__5fcaed1021788750740eaf4cb963c907ca733dc2__爆炸菇（爆炸前）__v363__flag__f28a34da__c0.mp4,0.164448,0.178566
generic__58c718f0a628fc78ed40a56ba41c1f7d385533e5__爆炸菇（爆炸前）__v336__bubble__c8edfdd6__c0.mp4,0.114806,0.139188
exact-r1__747711b7d7d492e548ee9d327fa617d3cbb1993f__爆炸菇（爆炸前）__v731__eyemask__66c62407__c0.mp4,0.448931,0.403059
exact-r1__7595de653201daf792ae964617d76e0bd71d2d72__爆炸菇（爆炸前）__v736__eyemask__52c3ff56__c0.mp4,0.159452,0.259678
base-props__e6e98683f20bb8f7f894e3c8abc003b9df6e8bcf__炸虾菇__v899__glasses__b0bc1b47__c0.mp4,0.059286,0.122249
base-noprop__3ab5e095ea7925663c71572cdf310f6c6d4c208d__汉堡菇__v0__7da88e0b__c0.mp4,0.147782,0.264881
exact-r2__91bc629c078edf731cebd1b7daf8cf84bcd0876c__爆炸菇（爆炸前）__v904__flag__c3df8e13__c0.mp4,0.366124,0.313818
base-props__58c718f0a628fc78ed40a56ba41c1f7d385533e5__炸虾菇__v336__coffee__07074ac5__c0.mp4,0.117798,0.162162
exact-r2__b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072__毒蘑菇__v1148__crown__0de8e285__c0.mp4,0.260293,0.315388
exact-r1__023469929148db26d79450784cecf5409c4507e4__爆炸菇（爆炸后）__v18__eyemask__fe0d0e87__c0.mp4,0.183996,0.199559
exact-r1__d4ef2d75cf545b684243814b292532151f86acb8__炸虾菇__v1324__crown__071d7250__c0.mp4,0.281895,0.360932
base-noprop__02649510b01d521437d95658981d30da7d35fe3b__爆炸菇（爆炸后）__v0__9d0e47fe__c0.mp4,0.476221,0.448885
exact-r2__b7d6465a8b59608365b430ec044d2fd40916aca4__蘑菇力__v1146__crown__d5a033a7__c0.mp4,0.374967,0.367917
base-noprop__0ab9e3bf089c71e2d454a42c0c8b656934192f80__蘑菇力__v0__f7acf8d6__c0.mp4,0.500701,0.463093
base-noprop__507ce1e393891e0f47c90aad7b6087098ce6304a__汉堡菇__v0__fcd4e0ac__c0.mp4,0.092688,0.146836
base-noprop__5626b130f196987d62f6d0c5c5db38f271c3a918__吐司菇__v0__8e02cd71__c0.mp4,0.068035,0.098631
exact-r1__088126bb925ec5269e2324b070d94c3ec44007e1__爆炸菇（爆炸前）__v51__crown__b17426ab__c0.mp4,0.460725,0.467284
base-noprop__0b0e83bd494c16e5170e432e0697b925efbac110__蘑菇力__v0__161d7dc4__c0.mp4,0.170756,0.25899
exact-r2__e5b3f1c2313f2de2d3a73d70859e4579fa6b248d__吐司菇__v1446__eyemask__ebabc90a__c0.mp4,0.080605,0.143976
base-props__432eff82630f4ea5c677143ac7a2c056c203e209__爆炸菇（爆炸前）__v246__eyemask__7d24a326__c0.mp4,0.091568,0.151067
exact-r1__a898e53d3c72c465b4580f2451c16978e1bd1300__吐司菇__v1042__crown__c8ab1e44__c0.mp4,0.084409,0.117238
exact-r1__62f72d5c5cf16e8ea21e0dfa14695d0513a55d09__爆炸菇（爆炸后）__v622__scooter__6ad027f4__c0.mp4,0.145284,0.189124
exact-r2__64f05b3d914bb69ca68d1d101fb3ac8bca6ac483__炸虾菇__v637__scooter__6ecc2e35__c0.mp4,0.1616,0.18195
exact-r1__55b892894205e7750a2404361426cb70179f139d__汉堡菇__v543__scooter__092fbc76__c0.mp4,0.359703,0.376661
base-noprop__682f7d8fb59392161e4d92c0884afcd19b380053__爆炸菇（爆炸后）__v0__b8c849c5__c0.mp4,0.180867,0.257151
base-noprop__1d44abeca76e96eae0662cfdcbc0c67000cc6687__蘑菇力__v0__b27295fd__c0.mp4,0.127706,0.158388
base-noprop__2b1e211233b0f0264e4dfff6fc8d00725b5b956c__吐司菇__v0__5d64f6ca__c0.mp4,0.042027,0.079711
base-noprop__546296f7917ec182336f629d3d0c02436cb741ca__毒蘑菇__v0__5c44f4b6__c0.mp4,0.105368,0.144223
exact-r1__d4b4dc72228046a3528be5b1403d1447c286b9fb__炸虾菇__v1322__crown__384fe161__c0.mp4,0.26988,0.332741
exact-r1__f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b__爆炸菇（爆炸前）__v1512__scooter__23c2e1b2__c0.mp4,0.314658,0.327711
base-noprop__2e743de79a09fe6b92bd9666baeed5733a188d07__蘑菇力__v0__8feb5e45__c0.mp4,0.219532,0.256753
exact-r2__7c8a526968954350424479b1f22cb0375632bc6e__炸虾菇__v775__glasses__253cc752__c0.mp4,0.381372,0.358339
base-props__db8515de9bb0464fda393bf87d44ee920714f2f6__汉堡菇__v851__bubble__5c7bd097__c0.mp4,0.118707,0.202257
exact-r2__32c112ea6a7834b77a3fc31159f3dd43a4eb76c4__蘑菇力__v336__scooter__9ac3841d__c0.mp4,0.067523,0.166004
base-noprop__2e743de79a09fe6b92bd9666baeed5733a188d07__吐司菇__v0__6eacff99__c0.mp4,0.455378,0.424861
base-noprop__454fa8dcb586fe5bba7dc4c8fc5beac333fb8f52__吐司菇__v0__a2af9ca9__c0.mp4,0.079357,0.174984
base-props__558e28ebbd5a1e6d7bade4cd30fc31f3ed07c04a__炸虾菇__v322__coffee__40a329ec__c0.mp4,0.061488,0.108352
exact-r1__b901df6d48d37ba439b3b2ce4f18d1b9073a8d64__蘑菇力__v1155__crown__7785cc21__c0.mp4,0.300423,0.379937
generic__ab6f99c5549581a128ce6f74321624ef1458176d__汉堡菇__v685__eyemask__62d9e5a4__c0.mp4,0.438684,0.488777
exact-r2__48043cd413298bba118f12d7404a3ad3aeeeb310__粽子菇__v458__scooter__614502c4__c0.mp4,0.090844,0.142638
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__汉堡菇__v0__d3305c19__c0.mp4,0.074277,0.163338
base-props__58c718f0a628fc78ed40a56ba41c1f7d385533e5__爆炸菇（爆炸前）__v336__bubble__c8edfdd6__c0.mp4,0.136933,0.163935
base-noprop__454fa8dcb586fe5bba7dc4c8fc5beac333fb8f52__毒蘑菇__v0__9f031f3a__c0.mp4,0.129896,0.177199
base-noprop__3dae41227ff60a4b209b7b13235ac3a5ab6a6106__炸虾菇__v0__61feb769__c0.mp4,0.344184,0.318871
exact-r2__023469929148db26d79450784cecf5409c4507e4__爆炸菇（爆炸后）__v18__eyemask__fe0d0e87__c0.mp4,0.330609,0.376816
generic__9161487675b9294bb3a885ec183ef372cb601cf9__爆炸菇（爆炸后）__v577__coffee__1fac04fd__c0.mp4,0.256721,0.322292
base-noprop__c82f72947167e88ffd436a39531a14abf6dee6cf__汉堡菇__v0__cc39d456__c0.mp4,0.051409,0.136424
generic__de80684a473a7265e3fc6883d1373c22b31a0ac7__爆炸菇（爆炸后）__v868__scooter__2f2097c4__c0.mp4,0.258864,0.310102
exact-r1__c2b078adef47b737301102b36a43fd20619e975a__爆炸菇（爆炸前）__v1217__coffee__f853d071__c0.mp4,0.216781,0.292199
exact-r1__fb7a38929f54df6df3760fa91fdb2d30eabcc549__爆炸菇（爆炸前）__v1584__bubble__10e67213__c0.mp4,0.451498,0.463929
exact-r1__7c07e942a4d471b0e172f1847b7e35ab7ca9e40c__炸虾菇__v773__glasses__3fd44a04__c0.mp4,0.11001,0.18421
generic__b2dc2ae872b575489bad295a459616c0acd91ca9__粽子菇__v714__flag__d6ba270d__c0.mp4,0.154688,0.174624
generic__b4922b313b5f45658c57e964eec6e061ed1c765b__粽子菇__v718__flag__a54f5f92__c0.mp4,0.142217,0.200722
exact-r2__6e9d7ffcb3adf3ebcb80c8b5da0520ff83d8b419__汉堡菇__v702__coffee__d2e63cfc__c0.mp4,0.111279,0.223979
base-noprop__55b63d472e9f15d5bcd1f672b7144ce1726da2f2__炸虾菇__v0__67c3a118__c0.mp4,0.217355,0.316129
exact-r1__01a1dddba7c4429fdbe1cf4a4efc2c79bf9ea344__爆炸菇（爆炸后）__v13__eyemask__4b7eb00f__c0.mp4,0.48717,0.471317
base-noprop__58c718f0a628fc78ed40a56ba41c1f7d385533e5__蘑菇力__v0__f9a43a57__c0.mp4,0.107617,0.156645
exact-r1__950a434a553298a5568a9f659ffd1cb7eb0d5940__汉堡菇__v927__crown__2047a56f__c0.mp4,0.460913,0.494062
base-noprop__45ec56f5f20bca20bb45a07b0652cb24f9a8a27f__吐司菇__v0__aacbe02d__c0.mp4,0.116066,0.1707
generic__b166561176afda3a52cc9957753e6b2a097c6778__爆炸菇（爆炸后）__v708__eyemask__f8083751__c0.mp4,0.016277,0.116781
exact-r1__709e89aa3bf0db47d57dbae7b7494dc8e7b7db40__吐司菇__v710__flag__0ea85577__c0.mp4,0.08895,0.154067
base-props__b2678863871b99530ba9e74fef126b3d90508f99__爆炸菇（爆炸前）__v712__glasses__aeeab5ab__c0.mp4,0.070038,0.154444
exact-r1__171b01e62180767a46c70dc987e6dd7a7b472e97__蘑菇力__v148__glasses__0b94f1a4__c0.mp4,0.257979,0.289995
base-props__deb8dcc91484de67c08304d54dba061741b046a8__爆炸菇（爆炸后）__v870__scooter__b591c40c__c0.mp4,0.124265,0.183779
exact-r2__3373ae9e4de4dce88d5624681a41f79ac07484f3__爆炸菇（爆炸后）__v342__coffee__db864254__c0.mp4,0.231617,0.266218
base-props__aeecb7505b781f5cf42bce5705d3f3bc18c53b56__毒蘑菇__v701__bubble__42af22f1__c0.mp4,0.069395,0.129645
base-noprop__3832d04a1cb8b144cb27edf994f26444ef4fd338__吐司菇__v0__bbb6e489__c0.mp4,0.074423,0.124494
base-noprop__9219b0c92e3aa27066acadae2a241960308a9587__汉堡菇__v0__5a3df089__c0.mp4,0.188704,0.26148
base-noprop__18b6b24b18ae837e3278ec0c2498b4f0c0c457b3__蘑菇力__v0__8d5517a0__c0.mp4,0.287807,0.383418
base-noprop__3d26d6f7fd4d6820fa44e7006dd03dd17e6bf2d7__毒蘑菇__v0__d08350d6__c0.mp4,0.012488,0.073566
exact-r1__d9123fcf5b59450d0a2f6a5ad88295a70a2115f8__炸虾菇__v1355__flag__840b8d48__c0.mp4,0.125762,0.178943
exact-r1__579b7375a39c56aa97ed82de55ae9d9e7096a3db__汉堡菇__v558__scooter__207a7f1a__c0.mp4,0.151225,0.283173
base-noprop__2d2951cd69f3a72e2aae75f1d67be6c3db5f524b__蘑菇力__v0__04136747__c0.mp4,0.169445,0.184212
generic__36eb6a2b312cae414c0f305a4fd633fb23cd8654__粽子菇__v193__eyemask__b2ee2dfe__c0.mp4,0.158061,0.214207
base-noprop__3dae41227ff60a4b209b7b13235ac3a5ab6a6106__爆炸菇（爆炸前）__v0__f138c6ab__c0.mp4,0.278251,0.250914
base-noprop__5cd87e0e73b2c6ed3b794bb426544d934c63d371__炸虾菇__v0__706c5082__c0.mp4,0.354704,0.264598
exact-r1__f0ded2281369569374226c3d97d3dbf8e365ae0a__爆炸菇（爆炸前）__v1514__scooter__468bb4f1__c0.mp4,0.058391,0.145949
base-noprop__3a465276b3c4381b5603d70c17849c8e1edf6d9c__毒蘑菇__v0__ca59e29d__c0.mp4,0.077036,0.163264
exact-r1__e5b3f1c2313f2de2d3a73d70859e4579fa6b248d__吐司菇__v1446__eyemask__ebabc90a__c0.mp4,0.093206,0.145274
base-noprop__b281dc2a1f8e99821ca80a015d7a15c12c8925f9__爆炸菇（爆炸后）__v0__faa2e23c__c0.mp4,0.095292,0.191629
exact-r2__06af112cda638917aeaa3b19f63575e6b2cce87e__爆炸菇（爆炸前）__v41__crown__a6645005__c0.mp4,0.129818,0.169499
base-props__76bedf4133108cb9d6353392af2c7cc998863e38__毒蘑菇__v463__glasses__c059a95f__c0.mp4,0.084942,0.095826
generic__143077ed5c3203470357eefbac685c008578ef31__炸虾菇__v73__crown__15d9b9b3__c0.mp4,0.082105,0.117382
exact-r2__62671de5d59372c360feb3d41db56086df4cc5db__毒蘑菇__v619__scooter__25ffefbe__c0.mp4,0.084882,0.127956
base-noprop__c884f9c5b1342e1e182de98d0015811298454d88__爆炸菇（爆炸前）__v0__9ae9d662__c0.mp4,0.351691,0.335691
exact-r1__795ea87e86ea2b176586612ac5417582a9a6aade__毒蘑菇__v756__flag__8e4f927d__c0.mp4,0.425851,0.413295
exact-r1__1d10d72beff724875190e76c7f3249168d25a97a__毒蘑菇__v177__coffee__2132b6bd__c0.mp4,0.474268,0.436521
exact-r1__bea16ddc55c518bfb574989e59f234823ae28270__爆炸菇（爆炸后）__v1191__bubble__803eb796__c0.mp4,0.185786,0.209657
base-props__9161487675b9294bb3a885ec183ef372cb601cf9__爆炸菇（爆炸后）__v577__coffee__1fac04fd__c0.mp4,0.19192,0.285455
base-noprop__746da3c174acbb5da8858bffe05b68335dae3406__炸虾菇__v0__c02853d7__c0.mp4,0.155915,0.175305
exact-r1__f11cad00ba6f8dcd0db7e9dfcdef26e58638052e__毒蘑菇__v1517__glasses__64600409__c0.mp4,0.344924,0.408003
exact-r1__fbc6cc3e6f358627d84bb3511700ab79cfb3a214__爆炸菇（爆炸前）__v1587__bubble__942f9369__c0.mp4,0.060649,0.165982
exact-r1__34b54af8a5899c7c22353eaac7f1689280af08bd__爆炸菇（爆炸后）__v350__coffee__49e9409c__c0.mp4,0.088169,0.185304
exact-r1__7bbc9c358d454f3c1ceed7e6ea827dd046ac387a__炸虾菇__v770__glasses__7907da6c__c0.mp4,0.360147,0.342596
base-props__93cc4475cf0b1f25f9c50b862890b75be78a9117__汉堡菇__v590__coffee__8a5d7974__c0.mp4,0.315597,0.29846
exact-r2__eef6582250281f857a30d36d3c833cdc382e7548__汉堡菇__v1499__bubble__7c8ac50f__c0.mp4,0.111203,0.160437
exact-r2__2542b9c5635f6f39a49c3380e72384f78fd1c0d8__炸虾菇__v238__eyemask__d9177803__c0.mp4,0.208754,0.208912
generic__e9b94ecc359c2f277ccefaf7095c17b14b261bcc__炸虾菇__v909__glasses__5feb0285__c0.mp4,0.127222,0.188565
generic__a72599b49c4b660f3e5b470ed5a8d66283fa20c5__汉堡菇__v676__eyemask__5aabc100__c0.mp4,0.152902,0.205001
exact-r1__d2f00eb058f9ce3ba98cf2152e90a803a48e4864__炸虾菇__v1307__crown__79805e5c__c0.mp4,0.24695,0.181029
